time_step,building_id,charger_id,connected_ev,connected_ev_soc,action,constraint_violations
0,1,charger_1_1,,,0.034,['Charging with No EV Connected']
0,2,charger_10_1,EV_3,50.0,0.034,[]
0,3,charger_12_1,EV_4,20.0,0.034,[]
0,4,charger_15_1,,,0.034,['Charging with No EV Connected']
1,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
1,2,charger_10_1,EV_3,49.91775758340871,0.05532,[]
1,3,charger_12_1,EV_4,20.097757583408708,0.05532,[]
1,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
2,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
2,2,charger_10_1,EV_3,49.97255543538384,0.05532,[]
2,3,charger_12_1,EV_4,20.331475435383837,0.05532,[]
2,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
3,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
3,2,charger_10_1,EV_3,50.027024500247116,0.05532,[]
3,3,charger_12_1,EV_4,20.563790980247113,0.05532,[]
3,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4,2,charger_10_1,EV_3,50.081166750721216,0.05532,[]
4,3,charger_12_1,EV_4,20.794712631841207,0.05532,[]
4,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
5,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
5,2,charger_10_1,EV_3,50.13498414769247,0.05532,[]
5,3,charger_12_1,EV_4,21.02424875352574,0.05532,[]
5,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
6,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
6,2,charger_10_1,EV_3,50.18847864028189,0.05532,[]
6,3,charger_12_1,EV_4,21.252407658480166,0.05532,[]
6,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
7,1,charger_1_1,,,-0.02,['Discharge During Idle']
7,2,charger_10_1,EV_3,50.24165216591578,-0.02,['Charging Power Violation']
7,3,charger_12_1,EV_4,21.479197610004867,-0.02,['Charging Power Violation']
7,4,charger_15_1,,,-0.02,['Discharge During Idle']
8,1,charger_1_1,,,-0.02,['Discharge During Idle']
8,2,charger_10_1,EV_3,49.78587370337478,-0.02,['Charging Power Violation']
8,3,charger_12_1,EV_4,21.195993874799335,-0.02,['Charging Power Violation']
8,4,charger_15_1,,,-0.02,['Discharge During Idle']
9,1,charger_1_1,,,-0.02,['Discharge During Idle']
9,2,charger_10_1,EV_3,49.33282991160903,-0.02,['Charging Power Violation']
9,3,charger_12_1,EV_4,20.914489362005035,-0.02,['Charging Power Violation']
9,4,charger_15_1,,,-0.02,['Discharge During Idle']
10,1,charger_1_1,,,-0.02,['Discharge During Idle']
10,2,charger_10_1,EV_3,48.88250438259387,-0.02,['Charging Power Violation']
10,3,charger_12_1,EV_4,20.6346738762875,-0.02,['Charging Power Violation']
10,4,charger_15_1,,,-0.02,['Discharge During Idle']
11,1,charger_1_1,,,-0.02,['Discharge During Idle']
11,2,charger_10_1,EV_3,48.43488080675281,-0.02,['Charging Power Violation']
11,3,charger_12_1,EV_4,20.356537283484272,-0.02,['Charging Power Violation']
11,4,charger_15_1,,,-0.02,['Discharge During Idle']
12,1,charger_1_1,,,-0.02,['Discharge During Idle']
12,2,charger_10_1,EV_3,47.98994297236679,-0.02,['Charging Power Violation']
12,3,charger_12_1,EV_4,20.080069510237863,-0.02,['Charging Power Violation']
12,4,charger_15_1,,,-0.02,['Discharge During Idle']
13,1,charger_1_1,,,-0.02,['Discharge During Idle']
13,2,charger_10_1,EV_3,47.547674764987086,-0.02,['Charging Power Violation']
13,3,charger_12_1,EV_4,19.805260543630933,-0.02,['Charging Power Violation']
13,4,charger_15_1,,,-0.02,['Discharge During Idle']
14,1,charger_1_1,,,-0.02,['Discharge During Idle']
14,2,charger_10_1,EV_3,47.10806016685166,-0.02,['Charging Power Violation']
14,3,charger_12_1,,,-0.02,['Discharge During Idle']
14,4,charger_15_1,,,-0.02,['Discharge During Idle']
15,1,charger_1_1,,,-0.02,['Discharge During Idle']
15,2,charger_10_1,EV_3,46.671083256305046,-0.02,['Charging Power Violation']
15,3,charger_12_1,,,-0.02,['Discharge During Idle']
15,4,charger_15_1,,,-0.02,['Discharge During Idle']
16,1,charger_1_1,,,-0.0044,['Discharge During Idle']
16,2,charger_10_1,EV_3,46.23672820722171,-0.0044,['Charging Power Violation']
